id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1582002704125423616,1582002704125423616,1666013811000.0,2022-10-17 14:36:51,+0100,,"New: Online AI Word Processor - Write blogs, essays and more - now web based!  https://t.co/pVSZnMoSFO #ai #aitools #aigenerated #aicontent #aicopywriter #ArtificialIntelligence",en,"['ai', 'aitools', 'aigenerated', 'aicontent', 'aicopywriter', 'artificialintelligence']",[],1453291222869610497,1453291222869610497,it_adjust,ADJUST-IT,1,14,https://twitter.com/it_adjust/status/1582002704125423616,['https://seo.app/null'],[],0,,False,0,0,0,,#AI,,,,,,,[],,,,
1582002702833176576,1582002702833176576,1666013811000.0,2022-10-17 14:36:51,+0100,,"#AI is already shaping our presence and making an impact on our future, so 'it is essential that we maintain public trust' declares @Nus_Ghani MP, Minister for Science and Investment.   Join the conversation by creating an account on  https://t.co/XTUdrZadiH.  #AIStandardsHub  https://t.co/vkCMMibp1F",en,"['ai', 'aistandardshub']",[],1481592620933693447,1481592620933693447,AIStandardsHub,AI Standards Hub,1,14,https://twitter.com/AIStandardsHub/status/1582002702833176576,['http://aistandardshub.org'],['https://pbs.twimg.com/media/FfRjbpLXkAEXjGB.jpg'],1,https://pbs.twimg.com/media/FfRjbpLXkAEXjGB.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002682365038592,1582002682365038592,1666013806000.0,2022-10-17 14:36:46,+0100,,"""Vanguard of Fencing"" is an absolutely perfect comic! It's living rent free in my head!   #AI #illusrtationartist #webtoons   https://t.co/aP6cQOPjK1  https://t.co/GriMZrnVha",en,"['ai', 'illusrtationartist', 'webtoons']",[],1489128872540921856,1489128872540921856,CalatravaCyrill,Shin Dara,1,14,https://twitter.com/CalatravaCyrill/status/1582002682365038592,"['https://m.bilibilicomics.com/share/reader/mc1581?utm_source=app_share_twitter&utm_medium=skiptimemission&systemLang=en&yh=MTc3MzI4MjAwMg==&share_template=1_1&hashtag=AI,illusrtationartist,webtoons&time=2022-10-17_21:36:38']",['https://pbs.twimg.com/media/FfRnDlaUUAE6az0.jpg'],1,https://pbs.twimg.com/media/FfRnDlaUUAE6az0.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002671804100611,1582002671804100611,1666013803000.0,2022-10-17 14:36:43,+0100,,Snapped a photo of Liam McIntyre at the park #paparazzi #ai #aipaparazzi @ai_paparazzi #TMZ #CelebNews #CelebWatch #exclusive #PerezHilton #gossip  https://t.co/5COm5L6Utq,en,"['paparazzi', 'ai', 'aipaparazzi', 'tmz', 'celebnews', 'celebwatch', 'exclusive', 'perezhilton', 'gossip']",[],1571906020493955073,1571906020493955073,ai_paparazzi,AIPaparazzi,1,14,https://twitter.com/ai_paparazzi/status/1582002671804100611,[],['https://pbs.twimg.com/media/FfRnC-haUAAior5.png'],1,https://pbs.twimg.com/media/FfRnC-haUAAior5.png,False,0,0,0,,#AI,,,,,,,[],,,,
1582002664912879622,1582002664912879622,1666013802000.0,2022-10-17 14:36:42,+0100,,I wanna try out this comic book style   #AI #freemanhua #digitalpainting   https://t.co/3YqXw9juLY  https://t.co/0yIJk2LL23,en,"['ai', 'freemanhua', 'digitalpainting']",[],1561048712541278208,1561048712541278208,OfficalTamang,offical shristy tamang,1,14,https://twitter.com/OfficalTamang/status/1582002664912879622,"['https://m.bilibilicomics.com/share/reader/mc459?utm_source=app_share_twitter&utm_medium=skiptimemission&systemLang=en&yh=MTM1NjYyMjAwMg==&share_template=1_4&hashtag=AI,freemanhua,digitalpainting&time=2022-10-17_15:58:46']",['https://pbs.twimg.com/media/FfRnCI5aAAEF4-H.jpg'],1,https://pbs.twimg.com/media/FfRnCI5aAAEF4-H.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002663549726720,1582002663549726720,1666013801000.0,2022-10-17 14:36:41,+0100,,Satan Claws #aiartcommunity #AIArtwork #AiArtSociety #DreamDiffusion #aiart #art #ai #digitalart #generativeart #Wombo #wombo  https://t.co/M0ZgypAk20,en,"['aiartcommunity', 'aiartwork', 'aiartsociety', 'dreamdiffusion', 'aiart', 'art', 'ai', 'digitalart', 'generativeart', 'wombo', 'wombo']",[],1580085383865548800,1580085383865548800,AiStandby,AIStandby,1,14,https://twitter.com/AiStandby/status/1582002663549726720,[],['https://pbs.twimg.com/media/FfRm779WIAE1EU6.jpg'],1,https://pbs.twimg.com/media/FfRm779WIAE1EU6.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002560415633409,1582002560415633409,1666013777000.0,2022-10-17 14:36:17,+0100,,Xbox Game Pass’ mysterious Ben &amp; Jerry’s listing was actually a game in disguise: #ai #ml #dl #iot mt: @worldtrendsinfo  https://t.co/S73MFW3uwP  https://t.co/xXZkKaXwsb,en,"['ai', 'ml', 'dl', 'iot']",[],2506029166,2506029166,Jea_Janine,#Tech Lover,1,14,https://twitter.com/Jea_Janine/status/1582002560415633409,['https://www.techradar.com/news/xbox-game-pass-mysterious-ben-and-jerrys-listing-was-actually-a-game-in-disguise/'],['https://pbs.twimg.com/media/FfRm4gvXoAInRXD.jpg'],1,https://pbs.twimg.com/media/FfRm4gvXoAInRXD.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002553373724672,1582002553373724672,1666013775000.0,2022-10-17 14:36:15,+0100,,"If you want your website rank #1 on googl̗e, take a look at this service 👍  👉 https://t.co/q4KloYGzCs  #mariomovie #fact #ai #trading #brexit #detroitroots #urbanagenda #voiceofblackboston  https://t.co/MyxSUhZkUH",en,"['mariomovie', 'fact', 'ai', 'trading', 'brexit', 'detroitroots', 'urbanagenda', 'voiceofblackboston']",[],731213551197687808,731213551197687808,BaoziSherry,✨Grow Instagram Organically 🚀,1,14,https://twitter.com/BaoziSherry/status/1582002553373724672,['https://sites.google.com/view/research-seo-keywords?coupon=1666013775'],['https://pbs.twimg.com/media/FfRm7F2VUAQvEs0.png'],1,https://pbs.twimg.com/media/FfRm7F2VUAQvEs0.png,False,0,0,0,,#AI,,,,,,,[],,,,
1582002550026690560,1582002550026690560,1666013774000.0,2022-10-17 14:36:14,+0100,,#MyTradingPet #USDCHF - BUY at 0.99747:  -Boundary of Symmetrical Triangle at 0.99750 (H1) -Bullish STOCH divergence detected (H1)  Visit  https://t.co/t0azzSpeGX for more!  *trading involves risk #forexsignals #forex #trading #Daytrading #AI  https://t.co/Fu1CnbHUAy,en,"['mytradingpet', 'usdchf', 'forexsignals', 'forex', 'trading', 'daytrading', 'ai']",[],1178510677763182592,1178510677763182592,pet_trading,MyTradingPet,1,14,https://twitter.com/pet_trading/status/1582002550026690560,['https://mytradingpet.com'],['https://pbs.twimg.com/media/FfRm74qaYAAFBe7.jpg'],1,https://pbs.twimg.com/media/FfRm74qaYAAFBe7.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
1582002517550190592,1582002517550190592,1666013767000.0,2022-10-17 14:36:07,+0100,,NEW MODEL for WORKING FROM HOME 2022 by #ONPASSIVE IT IS HAPPENING❗️  👷♂👷♀We do all the work!  💰You get income!  https://t.co/iT2vzH2OyL #ONPASSIVE #OFounders #earn #GoFounders #Business  #AI #ArtificialIntelligence #Technology  #Innovation #inittowinit #A...  https://t.co/vjdUmofcUc,en,"['onpassive', 'onpassive', 'ofounders', 'earn', 'gofounders', 'business', 'ai', 'artificialintelligence', 'technology', 'innovation', 'inittowinit', 'a']",[],930514094096044033,930514094096044033,zeditip,Zedi (Zoran D.),1,14,https://twitter.com/zeditip/status/1582002517550190592,['https://youtu.be/KA6jqvLiSZM'],['https://pbs.twimg.com/media/FfRm5_CWIAA4zpU.jpg'],1,https://pbs.twimg.com/media/FfRm5_CWIAA4zpU.jpg,False,0,0,0,,#AI,,,,,,,[],,,,
